Resource,ResourceScope,GenerateSupported,ImportSupported
cloudflare_access_application,Account,True,True
cloudflare_access_group,Account,True,True
cloudflare_access_identity_provider,Account,True,False
cloudflare_access_mutual_tls_certificate,Account,True,False
cloudflare_access_policy,Account,False,False
cloudflare_access_rule,Account,True,True
cloudflare_access_service_token,Account,True,False
cloudflare_account_member,Account,True,True
cloudflare_api_shield,Zone,True,False
cloudflare_api_token,User,False,False
cloudflare_argo,Zone,True,True
cloudflare_authenticated_origin_pulls,Zone,False,False
cloudflare_authenticated_origin_pulls_certificate,Zone,False,False
cloudflare_bot_management,Zone,True,True
cloudflare_byo_ip_prefix,Account,True,True
cloudflare_certificate_pack,Zone,True,True
cloudflare_custom_hostname,Zone,True,True
cloudflare_custom_hostname_fallback_origin,Account,True,False
cloudflare_custom_pages,Account or Zone,True,True
cloudflare_custom_ssl,Zone,True,True
cloudflare_filter,Zone,True,True
cloudflare_firewall_rule,Zone,True,True
cloudflare_healthcheck,Zone,True,True
cloudflare_ip_list,Account,False,True
cloudflare_load_balancer,Zone,True,True
cloudflare_load_balancer_monitor,Account,True,True
cloudflare_load_balancer_pool,Account,True,True
cloudflare_logpull_retention,Zone,False,False
cloudflare_logpush_job,Zone,True,False
cloudflare_logpush_ownership_challenge,Zone,False,False
cloudflare_magic_firewall_ruleset,Account,False,False
cloudflare_origin_ca_certificate,Zone,True,True
cloudflare_page_rule,Zone,True,True
cloudflare_rate_limit,Zone,True,True
cloudflare_record,Zone,True,True
cloudflare_ruleset,Account or Zone,True,True
cloudflare_spectrum_application,Zone,True,True
cloudflare_tiered_cache,Zone,True,False
cloudflare_teams_list,Account,True,True
cloudflare_teams_location,Account,True,True
cloudflare_teams_proxy_endpoint,Account,True,True
cloudflare_teams_rule,Account,True,True
cloudflare_tunnel,Account,True,True
cloudflare_turnstile_widget,Account,True,True
cloudflare_url_normalization_settings,Zone,True,False
cloudflare_waf_group,Zone,False,False
cloudflare_waf_override,Zone,True,True
cloudflare_waf_package,Zone,True,False
cloudflare_waf_rule,Zone,False,False
cloudflare_waiting_room,Zone,True,True
cloudflare_worker_cron_trigger,Account,False,False
cloudflare_worker_route,Zone,True,True
cloudflare_worker_script,Account,False,False
cloudflare_workers_kv,Account,False,False
cloudflare_workers_kv_namespace,Account,True,True
cloudflare_zone,Account,True,True
cloudflare_zone_dnssec,Zone,False,False
cloudflare_zone_lockdown,Zone,True,True
cloudflare_zone_settings_override,Zone,True,False
