Resource,ResourceScope,GenerateSupported,ImportSupported
cloudflare_account,account,TRUE,TRUE,
cloudflare_account_member,account,TRUE,TRUE,
cloudflare_address_map,account,TRUE,TRUE,
cloudflare_d1_database,account,TRUE,TRUE,
cloudflare_dns_firewall,account,TRUE,TRUE,
cloudflare_dns_zone_transfers_acl,account,TRUE,TRUE,
cloudflare_dns_zone_transfers_peer,account,TRUE,TRUE,
cloudflare_dns_zone_transfers_tsig,account,TRUE,TRUE,
cloudflare_email_routing_address,account,TRUE,TRUE,
cloudflare_email_security_block_sender,account,TRUE,TRUE,
cloudflare_email_security_impersonation_registry,account,TRUE,TRUE,
cloudflare_email_security_trusted_domains,account,TRUE,TRUE,
cloudflare_list,account,TRUE,TRUE,
cloudflare_list_item,account,TRUE,TRUE,
cloudflare_load_balancer_monitor,account,TRUE,TRUE,
cloudflare_load_balancer_pool,account,TRUE,TRUE,
cloudflare_mtls_certificate,account,TRUE,TRUE,
cloudflare_notification_policy,account,TRUE,TRUE,
cloudflare_notification_policy_webhooks,account,TRUE,TRUE,
cloudflare_pages_domain,account,TRUE,TRUE,
cloudflare_pages_project,account,TRUE,TRUE,
cloudflare_queue,account,TRUE,TRUE,
cloudflare_r2_bucket,account,TRUE,TRUE,
cloudflare_r2_custom_domain,account,TRUE,TRUE,
cloudflare_r2_managed_domain,account,TRUE,TRUE,
cloudflare_turnstile_widget,account,TRUE,TRUE,
cloudflare_web_analytics_rule,account,TRUE,TRUE,
cloudflare_web_analytics_site,account,TRUE,TRUE,
cloudflare_workers_custom_domain,account,TRUE,TRUE,
cloudflare_workers_for_platforms_dispatch_namespace,account,TRUE,TRUE,
cloudflare_workers_kv_namespace,account,TRUE,TRUE,
cloudflare_logpush_job,account or zone,TRUE,TRUE,
cloudflare_ruleset,account or zone,TRUE,TRUE,
cloudflare_zero_trust_access_application,account or zone,TRUE,TRUE,
cloudflare_api_shield_operation,zone,TRUE,TRUE,
cloudflare_bot_management,zone,TRUE,TRUE,
cloudflare_certificate_pack,zone,TRUE,TRUE,
cloudflare_custom_hostname,zone,TRUE,TRUE,
cloudflare_custom_hostname_fallback_origin,zone,TRUE,TRUE,
cloudflare_dns_record,zone,TRUE,TRUE,
cloudflare_dns_zone_transfers_incoming,zone,TRUE,TRUE,
cloudflare_dns_zone_transfers_outgoing,zone,TRUE,TRUE,
cloudflare_email_routing_catch_all,zone,TRUE,TRUE,
cloudflare_email_routing_dns,zone,TRUE,TRUE,
cloudflare_email_routing_rule,zone,TRUE,TRUE,
cloudflare_email_routing_settings,zone,TRUE,TRUE,
cloudflare_filter,zone,TRUE,TRUE,
cloudflare_healthcheck,zone,TRUE,TRUE,
cloudflare_hostname_tls_setting,zone,TRUE,TRUE,
cloudflare_keyless_certificate,zone,TRUE,TRUE,
cloudflare_load_balancer,zone,TRUE,TRUE,
cloudflare_managed_transforms,zone,TRUE,TRUE,
cloudflare_origin_ca_certificate,zone,TRUE,TRUE,
cloudflare_page_rule,zone,TRUE,TRUE,
cloudflare_page_shield_policy,zone,TRUE,TRUE,
cloudflare_rate_limit,zone,TRUE,TRUE,
cloudflare_regional_hostname,zone,TRUE,TRUE,
cloudflare_regional_tiered_cache,zone,TRUE,TRUE,
cloudflare_spectrum_application,zone,TRUE,TRUE,
cloudflare_tiered_cache,zone,TRUE,TRUE,
cloudflare_total_tls,zone,TRUE,TRUE,
cloudflare_url_normalization_settings,zone,TRUE,TRUE,
cloudflare_waiting_room_event,zone,TRUE,TRUE,
cloudflare_waiting_room_rules,zone,TRUE,TRUE,
cloudflare_waiting_room_settings,zone,TRUE,TRUE,
cloudflare_web3_hostname,zone,TRUE,TRUE,
cloudflare_account_subscription,account,TRUE,FALSE,
cloudflare_calls_sfu_app,account,TRUE,FALSE,
cloudflare_calls_turn_app,account,TRUE,FALSE,
cloudflare_magic_wan_static_route,account,TRUE,FALSE,
cloudflare_queue_consumer,account,TRUE,FALSE,
cloudflare_registrar_domain,account,TRUE,FALSE,
cloudflare_stream,account,TRUE,FALSE,
cloudflare_stream_key,account,TRUE,FALSE,
cloudflare_stream_live_input,account,TRUE,FALSE,
cloudflare_stream_watermark,account,TRUE,FALSE,
cloudflare_stream_webhook,account,TRUE,FALSE,
cloudflare_user,account,TRUE,FALSE,
cloudflare_workers_cron_trigger,account,TRUE,FALSE,
cloudflare_workers_deployment,account,TRUE,FALSE,
cloudflare_workers_script_subdomain,account,TRUE,FALSE,
cloudflare_zero_trust_access_custom_page,account,TRUE,FALSE,
cloudflare_zero_trust_access_infrastructure_target,account,TRUE,FALSE,
cloudflare_zero_trust_access_key_configuration,account,TRUE,FALSE,
cloudflare_zero_trust_access_policy,account,TRUE,FALSE,
cloudflare_zero_trust_access_tag,account,TRUE,FALSE,
cloudflare_zero_trust_device_custom_profile,account,TRUE,FALSE,
cloudflare_zero_trust_device_default_profile,account,TRUE,FALSE,
cloudflare_zero_trust_device_default_profile_local_domain_fallback,account,TRUE,FALSE,
cloudflare_zero_trust_device_managed_networks,account,TRUE,FALSE,
cloudflare_zero_trust_device_posture_integration,account,TRUE,FALSE,
cloudflare_zero_trust_device_posture_rule,account,TRUE,FALSE,
cloudflare_zero_trust_dex_test,account,TRUE,FALSE,
cloudflare_zero_trust_dlp_custom_profile,account,TRUE,FALSE,
cloudflare_zero_trust_dlp_dataset,account,TRUE,FALSE,
cloudflare_zero_trust_dlp_predefined_profile,account,TRUE,FALSE,
cloudflare_zero_trust_dns_location,account,TRUE,FALSE,
cloudflare_zero_trust_gateway_certificate,account,TRUE,FALSE,
cloudflare_zero_trust_gateway_policy,account,TRUE,FALSE,
cloudflare_zero_trust_gateway_proxy_endpoint,account,TRUE,FALSE,
cloudflare_zero_trust_gateway_settings,account,TRUE,FALSE,
cloudflare_zero_trust_list,account,TRUE,FALSE,
cloudflare_zero_trust_risk_behavior,account,TRUE,FALSE,
cloudflare_zero_trust_risk_scoring_integration,account,TRUE,FALSE,
cloudflare_zero_trust_tunnel_cloudflared,account,TRUE,FALSE,
cloudflare_zero_trust_tunnel_cloudflared_config,account,TRUE,FALSE,
cloudflare_zero_trust_tunnel_cloudflared_route,account,TRUE,FALSE,
cloudflare_zero_trust_tunnel_cloudflared_virtual_network,account,TRUE,FALSE,
cloudflare_waiting_room,account or zone,TRUE,FALSE,
cloudflare_zero_trust_access_group,account or zone,TRUE,FALSE,
cloudflare_zero_trust_access_identity_provider,account or zone,TRUE,FALSE,
cloudflare_zero_trust_access_mtls_certificate,account or zone,TRUE,FALSE,
cloudflare_zero_trust_access_mtls_hostname_settings,account or zone,TRUE,FALSE,
cloudflare_zero_trust_access_service_token,account or zone,TRUE,FALSE,
cloudflare_zero_trust_access_short_lived_certificate,account or zone,TRUE,FALSE,
cloudflare_zero_trust_organization,account or zone,TRUE,FALSE,
cloudflare_api_shield_discovery_operation,zone,TRUE,FALSE,
cloudflare_api_shield_operation_schema_validation_settings,zone,TRUE,FALSE,
cloudflare_api_shield_schema,zone,TRUE,FALSE,
cloudflare_api_shield_schema_validation_settings,zone,TRUE,FALSE,
cloudflare_argo_smart_routing,zone,TRUE,FALSE,
cloudflare_argo_tiered_caching,zone,TRUE,FALSE,
cloudflare_authenticated_origin_pulls,zone,TRUE,FALSE,
cloudflare_authenticated_origin_pulls_certificate,zone,TRUE,FALSE,
cloudflare_content_scanning_expression,zone,TRUE,FALSE,
cloudflare_leaked_credential_check,zone,TRUE,FALSE,
cloudflare_leaked_credential_check_rule,zone,TRUE,FALSE,
cloudflare_logpull_retention,zone,TRUE,FALSE,
cloudflare_observatory_scheduled_test,zone,TRUE,FALSE,
cloudflare_snippet_rules,zone,TRUE,FALSE,
cloudflare_snippets,zone,TRUE,FALSE,
cloudflare_zero_trust_device_default_profile_certificates,zone,TRUE,FALSE,
cloudflare_zone,zone,TRUE,FALSE,
cloudflare_zone_cache_reserve,zone,TRUE,FALSE,
cloudflare_zone_cache_variants,zone,TRUE,FALSE,
cloudflare_zone_dnssec,zone,TRUE,FALSE,
cloudflare_zone_lockdown,zone,TRUE,FALSE,
cloudflare_zone_setting,zone,TRUE,FALSE,
