Resource,ResourceScope,GenerateSupported,ImportSupported
cloudflare_account,ACCOUNT,True,True
cloudflare_account_member,account,True,True
cloudflare_address_map,account,True,True
cloudflare_d1_database,account,True,True
cloudflare_dns_firewall,account,True,True
cloudflare_dns_zone_transfers_acl,account,True,True
cloudflare_dns_zone_transfers_peer,account,True,True
cloudflare_dns_zone_transfers_tsig,account,True,True
cloudflare_email_routing_address,account,True,True
cloudflare_email_security_block_sender,account,True,True
cloudflare_email_security_impersonation_registry,account,True,True
cloudflare_email_security_trusted_domains,account,True,True
cloudflare_list,account,True,True
cloudflare_list_item,account,True,True
cloudflare_load_balancer_monitor,account,True,True
cloudflare_load_balancer_pool,account,True,True
cloudflare_mtls_certificate,account,True,True
cloudflare_notification_policy,account,True,True
cloudflare_notification_policy_webhooks,account,True,True
cloudflare_pages_domain,account,True,True
cloudflare_pages_project,account,True,True
cloudflare_queue,account,True,True
cloudflare_r2_bucket,account,True,True
cloudflare_r2_custom_domain,account,True,True
cloudflare_r2_managed_domain,account,True,True
cloudflare_turnstile_widget,account,True,True
cloudflare_web_analytics_rule,account,True,True
cloudflare_web_analytics_site,account,True,True
cloudflare_workers_custom_domain,account,True,True
cloudflare_workers_for_platforms_dispatch_namespace,account,True,True
cloudflare_workers_kv_namespace,account,True,True
cloudflare_logpush_job,account or zone,True,True
cloudflare_ruleset,account or zone,True,True
cloudflare_zero_trust_access_application,account or zone,True,True
cloudflare_api_shield_operation,zone,True,True
cloudflare_bot_management,zone,True,True
cloudflare_certificate_pack,zone,True,True
cloudflare_custom_hostname,zone,True,True
cloudflare_custom_hostname_fallback_origin,zone,True,True
cloudflare_dns_record,zone,True,True
cloudflare_dns_zone_transfers_incoming,zone,True,True
cloudflare_dns_zone_transfers_outgoing,zone,True,True
cloudflare_email_routing_catch_all,zone,True,True
cloudflare_email_routing_dns,zone,True,True
cloudflare_email_routing_rule,zone,True,True
cloudflare_email_routing_settings,zone,True,True
cloudflare_filter,zone,True,True
cloudflare_healthcheck,zone,True,True
cloudflare_hostname_tls_setting,zone,True,True
cloudflare_keyless_certificate,zone,True,True
cloudflare_load_balancer,zone,True,True
cloudflare_managed_transforms,zone,True,True
cloudflare_origin_ca_certificate,zone,True,True
cloudflare_page_rule,zone,True,True
cloudflare_page_shield_policy,zone,True,True
cloudflare_rate_limit,zone,True,True
cloudflare_regional_hostname,zone,True,True
cloudflare_regional_tiered_cache,zone,True,True
cloudflare_spectrum_application,zone,True,True
cloudflare_total_tls,zone,True,True
cloudflare_url_normalization_settings,zone,True,True
cloudflare_waiting_room_event,zone,True,True
cloudflare_waiting_room_rules,zone,True,True
cloudflare_waiting_room_settings,zone,True,True
cloudflare_web3_hostname,zone,True,True
cloudflare_account_subscription,account,True,False
cloudflare_calls_sfu_app,account,True,False
cloudflare_calls_turn_app,account,True,False
cloudflare_magic_wan_static_route,account,True,False
cloudflare_queue_consumer,account,True,False
cloudflare_registrar_domain,account,True,False
cloudflare_stream,account,True,False
cloudflare_stream_key,account,True,False
cloudflare_stream_live_input,account,True,False
cloudflare_stream_watermark,account,True,False
cloudflare_stream_webhook,account,True,False
cloudflare_user,account,True,False
cloudflare_workers_cron_trigger,account,True,False
cloudflare_workers_deployment,account,True,False
cloudflare_workers_script_subdomain,account,True,False
cloudflare_zero_trust_access_custom_page,account,True,False
cloudflare_zero_trust_access_infrastructure_target,account,True,False
cloudflare_zero_trust_access_key_configuration,account,True,False
cloudflare_zero_trust_access_policy,account,True,False
cloudflare_zero_trust_access_tag,account,True,False
cloudflare_zero_trust_device_custom_profile,account,True,False
cloudflare_zero_trust_device_default_profile,account,True,False
cloudflare_zero_trust_device_default_profile_local_domain_fallback,account,True,False
cloudflare_zero_trust_device_managed_networks,account,True,False
cloudflare_zero_trust_device_posture_integration,account,True,False
cloudflare_zero_trust_device_posture_rule,account,True,False
cloudflare_zero_trust_dex_test,account,True,False
cloudflare_zero_trust_dlp_custom_profile,account,True,False
cloudflare_zero_trust_dlp_dataset,account,True,False
cloudflare_zero_trust_dlp_predefined_profile,account,True,False
cloudflare_zero_trust_dns_location,account,True,False
cloudflare_zero_trust_gateway_certificate,account,True,False
cloudflare_zero_trust_gateway_policy,account,True,False
cloudflare_zero_trust_gateway_proxy_endpoint,account,True,False
cloudflare_zero_trust_gateway_settings,account,True,False
cloudflare_zero_trust_list,account,True,False
cloudflare_zero_trust_risk_behavior,account,True,False
cloudflare_zero_trust_risk_scoring_integration,account,True,False
cloudflare_zero_trust_tunnel_cloudflared,account,True,False
cloudflare_zero_trust_tunnel_cloudflared_config,account,True,False
cloudflare_zero_trust_tunnel_cloudflared_route,account,True,False
cloudflare_zero_trust_tunnel_cloudflared_virtual_network,account,True,False
cloudflare_waiting_room,account or zone,True,False
cloudflare_zero_trust_access_group,account or zone,True,False
cloudflare_zero_trust_access_identity_provider,account or zone,True,False
cloudflare_zero_trust_access_mtls_certificate,account or zone,True,False
cloudflare_zero_trust_access_mtls_hostname_settings,account or zone,True,False
cloudflare_zero_trust_access_service_token,account or zone,True,False
cloudflare_zero_trust_access_short_lived_certificate,account or zone,True,False
cloudflare_zero_trust_organization,account or zone,True,False
cloudflare_api_shield_discovery_operation,zone,True,False
cloudflare_api_shield_operation_schema_validation_settings,zone,True,False
cloudflare_api_shield_schema,zone,True,False
cloudflare_api_shield_schema_validation_settings,zone,True,False
cloudflare_argo_smart_routing,zone,True,False
cloudflare_argo_tiered_caching,zone,True,False
cloudflare_authenticated_origin_pulls,zone,True,False
cloudflare_authenticated_origin_pulls_certificate,zone,True,False
cloudflare_content_scanning_expression,zone,True,False
cloudflare_leaked_credential_check,zone,True,False
cloudflare_leaked_credential_check_rule,zone,True,False
cloudflare_logpull_retention,zone,True,False
cloudflare_observatory_scheduled_test,zone,True,False
cloudflare_snippet_rules,zone,True,False
cloudflare_snippets,zone,True,False
cloudflare_zero_trust_device_default_profile_certificates,zone,True,False
cloudflare_zone,zone,True,False
cloudflare_zone_cache_reserve,zone,True,False
cloudflare_zone_cache_variants,zone,True,False
cloudflare_zone_dnssec,zone,True,False
cloudflare_zone_lockdown,zone,True,False
cloudflare_zone_setting,zone,True,False
cloudflare_tiered_cache,zone,True,True

